teamOneWon,teamTwoWon,map2Team1SideBothPlayer1PlusMinus,map2Team1SideBothPlayer1Rating,map2Team1SideBothPlayer2PlusMinus,map2Team1SideBothPlayer2Rating,map2Team1SideBothPlayer3PlusMinus,map2Team1SideBothPlayer3Rating,map2Team1SideBothPlayer4PlusMinus,map2Team1SideBothPlayer4Rating,map2Team1SideBothPlayer5PlusMinus,map2Team1SideBothPlayer5Rating,map2Team2SideBothPlayer1PlusMinus,map2Team2SideBothPlayer1Rating,map2Team2SideBothPlayer2PlusMinus,map2Team2SideBothPlayer2Rating,map2Team2SideBothPlayer3PlusMinus,map2Team2SideBothPlayer3Rating,map2Team2SideBothPlayer4PlusMinus,map2Team2SideBothPlayer4Rating,map2Team2SideBothPlayer5PlusMinus,map2Team2SideBothPlayer5Rating
False,True,-1,0.89,-4,0.7,-7,0.56,-9,0.49,-8,0.44,7,1.98,11,1.69,7,1.58,0,1.16,1,1.15
True,False,5,1.3,4,1.26,-1,0.96,-1,0.96,-6,0.92,14,1.53,1,1.17,3,1.14,-7,0.79,-17,0.62
False,True,-3,0.79,-7,0.77,-6,0.69,-9,0.54,-13,0.37,15,1.99,8,1.72,8,1.53,3,1.3,2,1.16
True,False,12,1.84,11,1.64,6,1.57,4,1.4,4,1.05,-5,0.78,-7,0.62,-8,0.54,-8,0.52,-9,0.29
False,True,7,1.26,4,1.24,-4,0.85,-8,0.83,-10,0.64,12,1.72,5,1.23,0,1.11,-2,0.99,-4,0.89
False,True,10,1.33,-5,1.08,-4,1.02,1,0.96,-5,0.88,5,1.19,-1,1.17,4,1.17,3,1.07,-8,0.93
False,True,2,1.31,-4,0.98,1,0.96,-5,0.89,-8,0.64,7,1.34,0,1.31,7,1.28,0,1.04,0,0.95
True,False,10,1.51,5,1.35,2,1.16,1,1.14,1,1.07,-1,0.95,-2,0.95,-3,0.83,-7,0.82,-6,0.81
True,False,7,1.54,12,1.53,4,1.36,2,1.28,-2,0.97,-2,1.03,-2,0.84,-5,0.73,-4,0.7,-10,0.58
False,True,-2,0.97,-4,0.82,-7,0.69,-7,0.6,-8,0.55,9,1.86,9,1.63,7,1.58,4,1.19,-1,1.07
False,True,1,1.13,1,1.0,-2,0.94,-4,0.62,-10,0.62,10,1.61,4,1.47,6,1.24,-5,1.07,-1,1.03
False,True,2,1.16,1,1.1,-2,1.09,-4,1.01,3,0.95,8,1.29,2,1.2,1,1.0,-4,0.94,-7,0.9
True,False,8,1.3,6,1.29,3,1.26,0,1.12,-5,0.96,-1,1.06,1,0.96,-4,0.85,-4,0.76,-6,0.74
True,False,9,1.71,3,1.42,7,1.3,3,1.25,2,1.14,-2,1.06,-3,0.82,-7,0.73,-3,0.68,-10,0.52
True,False,10,1.81,3,1.27,5,1.24,1,1.1,2,0.99,6,1.34,3,1.06,-6,0.7,-14,0.45,-10,0.43
False,True,-1,0.99,-3,0.87,-7,0.45,-8,0.44,-7,0.39,14,2.19,8,1.66,6,1.31,-2,1.16,0,1.1
False,True,3,1.24,1,1.21,3,1.15,-4,0.88,-6,0.79,14,1.58,1,1.18,-3,0.98,-3,0.95,-8,0.79
True,False,19,1.98,-1,1.18,-2,1.02,-4,0.73,-7,0.71,2,1.16,1,1.0,-3,0.97,-4,0.9,-5,0.81
True,False,14,1.9,6,1.62,-1,1.08,4,1.07,-4,1.06,2,1.11,0,1.05,-5,0.98,-4,0.85,-12,0.63
False,True,-4,0.79,-3,0.68,-8,0.67,-2,0.64,-7,0.62,10,1.66,6,1.6,4,1.32,4,1.3,-1,1.03
True,False,6,1.4,5,1.34,-2,1.07,0,1.0,-3,0.82,14,1.76,3,1.17,-8,0.89,-4,0.8,-11,0.58
True,False,4,1.29,4,1.25,2,1.2,1,1.11,2,1.09,2,1.13,1,1.12,-2,0.98,-9,0.66,-5,0.65
False,True,-1,1.16,-8,0.58,-8,0.52,-10,0.4,-12,0.17,13,1.93,8,1.75,7,1.39,7,1.37,2,1.21
True,False,11,1.72,11,1.71,-2,1.07,1,1.04,0,0.94,2,1.13,-3,1.05,-5,0.85,-5,0.77,-10,0.55
True,False,10,1.74,9,1.45,6,1.38,0,1.0,-4,0.88,2,1.17,-4,0.9,-5,0.75,-8,0.72,-9,0.69
True,False,17,2.21,3,1.34,0,1.04,-3,0.98,-2,0.88,1,1.17,0,0.9,-6,0.76,-3,0.75,-7,0.71
True,False,12,1.44,7,1.41,2,1.22,-4,1.11,-9,0.86,1,1.22,-3,1.09,-1,1.07,-3,1.02,-3,0.88
True,False,5,1.87,8,1.75,10,1.6,4,1.57,2,1.18,-1,1.18,-1,1.06,-6,0.66,-12,0.29,-12,0.26
True,False,9,1.68,9,1.57,5,1.53,8,1.51,-2,0.93,-1,1.01,-4,0.91,-8,0.87,-9,0.62,-7,0.6
False,True,-3,0.83,-5,0.64,-7,0.54,-8,0.42,-7,0.39,14,2.0,8,1.85,2,1.56,2,1.29,2,1.23
True,False,16,1.99,6,1.77,5,1.47,4,1.29,1,1.21,-5,1.04,-3,1.02,-5,0.71,-6,0.54,-14,0.19
