eventId,eventName,eventDate,eventLink,eventNumTeams,eventPrize,eventLocation,eventType
7600,ESL Challenger Melbourne 2024,Apr 26th,/events/7600/esl-challenger-melbourne-2024,8,"$100,000","Melbourne, Australia",Intl. LAN
7599,Amber Clutch Season 6 Finals,Dec 17th,/events/7599/amber-clutch-season-6-finals,2+,"$1,305","Vilnius, Lithuania",Local LAN
7598,ESL Impact Autumn 2023 Cash Cup 7 North America,Dec 17th,/events/7598/esl-impact-autumn-2023-cash-cup-7-north-america,2+,"$1,000",North America (Online),Online
7597,ESEA Autumn 2023 Cash Cup 7 North America,Dec 16th,/events/7597/esea-autumn-2023-cash-cup-7-north-america,8+,"$4,000",North America (Online),Online
7596,FRAG Winter Battle Cup 2023,Dec 17th,/events/7596/frag-winter-battle-cup-2023,2+,"$1,540","Tashkent, Uzbekistan",Local LAN
7594,LuckyCasino Cup 2023,Dec 17th,/events/7594/luckycasino-cup-2023,8,"$9,500","Stockholm, Sweden",Local LAN
7593,EPL World Series Americas Season 5,Dec 15th,/events/7593/epl-world-series-americas-season-5,8,"$5,000",South America (Online),Online
7592,22BET Christmas Cup 2023,Dec 18th,/events/7592/22bet-christmas-cup-2023,8,"$10,000",Europe (Online),Online
7591,Dust2 India 1xBet Masters 5,Dec 17th,/events/7591/dust2-india-1xbet-masters-5,4,"$1,500",India (Online),Online
7590,United21 League Season 9,Dec 17th,/events/7590/united21-league-season-9,4+,"$5,000",Europe (Online),Online
7588,European Pro League 2nd Division Season 8,Dec 16th,/events/7588/european-pro-league-2nd-division-season-8,8+,"$10,000",Europe (Online),Online
7587,Liga GG.BET Season 2,Dec 15th,/events/7587/liga-ggbet-season-2,6+,"$11,020",Brazil (Online),Online
7586,Intel Monsters Reloaded 2023,Dec 15th,/events/7586/intel-monsters-reloaded-2023,4,"$21,000","Istanbul, Turkey",Intl. LAN
7585,kleverr Virsliga Season 1 Finals,Dec 16th,/events/7585/kleverr-virsliga-season-1-finals,4,"$1,292","Riga, Latvia",Local LAN
7584,ESL Challenger League Season 46 North America Relegation,Dec 15th,/events/7584/esl-challenger-league-season-46-north-america-relegation,8,Other,North America (Online),Online
7583,Dubai Police Esports Tournament 2023,Dec 10th,/events/7583/dubai-police-esports-tournament-2023,2+,"$4,357","Dubai, UAE",Local LAN
7582,ESL Challenger League Season 46 NA Relegation Play-in,Dec 10th,/events/7582/esl-challenger-league-season-46-na-relegation-play-in,2,Other,North America (Online),Online
7581,Fragicago 2023,Dec 2nd,/events/7581/fragicago-2023,8+,"$10,000","Chicago, IL, US",Local LAN
7580,OLW Skolkampen Fall 2023 Finals,Dec 9th,/events/7580/olw-skolkampen-fall-2023-finals,4+,"$4,770","Stockholm, Sweden",Local LAN
7579,Dogmination Iberian Premier Cup 2023 Finals,Dec 8th,/events/7579/dogmination-iberian-premier-cup-2023-finals,2,"$3,280","Valencia, Spain",Reg. LAN
7576,Mythic Cup Winter 2023,Dec 11th,/events/7576/mythic-cup-winter-2023,8,"$5,000",North America (Online),Online
7575,ESL Impact Autumn 2023 Cash Cup 6 North America,Dec 3rd,/events/7575/esl-impact-autumn-2023-cash-cup-6-north-america,2+,"$1,000",North America (Online),Online
7574,ESEA Autumn 2023 Cash Cup 6 Europe,Dec 3rd,/events/7574/esea-autumn-2023-cash-cup-6-europe,2+,"$4,000",Europe (Online),Online
7573,ESEA Advanced Season 47 North America,Dec 7th,/events/7573/esea-advanced-season-47-north-america,6+,"$18,800",North America (Online),Online
7572,ESEA Advanced Season 47 Europe,Dec 5th,/events/7572/esea-advanced-season-47-europe,16+,"$20,600",Europe (Online),Online
7571,ESEA Autumn 2023 Cash Cup 6 North America,Dec 2nd,/events/7571/esea-autumn-2023-cash-cup-6-north-america,8+,"$4,000",North America (Online),Online
7570,Corsair Championship 2023,Dec 2nd,/events/7570/corsair-championship-2023,2+,"$3,000","Buenos Aires, Argentina",Local LAN
7569,UKIC League Fall 2023 Finals,Dec 9th,/events/7569/ukic-league-fall-2023-finals,4,"$4,874","Sheffield, UK",Local LAN
7568,MESA Pro Series Winter 2023,Dec 2nd,/events/7568/mesa-pro-series-winter-2023,2+,"$4,635","Ulaanbaatar, Mongolia",Local LAN
7566,ESL Impact League Season 5 Finals,May 31st,/events/7566/esl-impact-league-season-5-finals,8,"$123,000","Dallas, TX, US",Intl. LAN
7565,ESL Challenger League Season 47 SA Open Qualifier 2,Nov 30th,/events/7565/esl-challenger-league-season-47-sa-open-qualifier-2,8+,Other,South America (Online),Online
7564,ESL Challenger League Season 47 Oceania Open Qualifier 2,Dec 1st,/events/7564/esl-challenger-league-season-47-oceania-open-qualifier-2,4+,Other,Oceania (Online),Online
7563,La Coupe 4 Paris 2023,Dec 2nd,/events/7563/la-coupe-4-paris-2023,4+,"$3,800","Paris, France",Local LAN
7562,1xBet Club Tournament 3 Finals,Dec 2nd,/events/7562/1xbet-club-tournament-3-finals,4,"$12,000","Almaty, Kazakhstan",Reg. LAN
7561,OlyBet Baltics Cup 2023,Dec 2nd,/events/7561/olybet-baltics-cup-2023,4,"$5,000","Riga, Latvia",Reg. LAN
7560,ESL Challenger League Season 47 Oceania Open Qualifier 1,Nov 29th,/events/7560/esl-challenger-league-season-47-oceania-open-qualifier-1,4+,Other,Oceania (Online),Online
7559,ESL Challenger League Season 47 SA Open Qualifier 1,Nov 29th,/events/7559/esl-challenger-league-season-47-sa-open-qualifier-1,8+,Other,South America (Online),Online
7558,POWER Ligaen Season 24 Finals,Dec 2nd,/events/7558/power-ligaen-season-24-finals,4,"$11,761","Copenhagen, Denmark",Local LAN
7550,United21 League Season 8,Nov 27th,/events/7550/united21-league-season-8,4+,"$5,000",Europe (Online),Online
7549,DreamHack Winter 2023 BYOC,Nov 26th,/events/7549/dreamhack-winter-2023-byoc,2+,"$13,409","Jönköping, Sweden",Reg. LAN
7548,1xBet Club Tournament 3 Kazakhstan,Nov 26th,/events/7548/1xbet-club-tournament-3-kazakhstan,2+,"$1,728","Almaty, Kazakhstan",Local LAN
7547,Dust2 India 1xBet Masters 4,Nov 26th,/events/7547/dust2-india-1xbet-masters-4,4,"$1,500",India (Online),Online
7546,ESL Meisterschaft Autumn 2023 Finals,Dec 16th,/events/7546/esl-meisterschaft-autumn-2023-finals,2,"$9,987","Hannover, Germany",Local LAN
7545,ESL Meisterschaft Autumn 2023,Nov 25th,/events/7545/esl-meisterschaft-autumn-2023,3+,Other,Germany (Online),Online
7544,European Pro League Season 12,Nov 25th,/events/7544/european-pro-league-season-12,16,"$20,000",Europe (Online),Online
7543,CCT 2023 Online Finals 5,Nov 30th,/events/7543/cct-2023-online-finals-5,16,"$200,000",Europe (Online),Online
7542,ESL Polish Championship Autumn 2023,Nov 25th,/events/7542/esl-polish-championship-autumn-2023,4+,"$12,377",Poland (Online),Online
7541,RES Adriatic League Season 3,Nov 23rd,/events/7541/res-adriatic-league-season-3,6+,"$4,634",Europe (Online),Online
7540,European Pro League 2nd Division Season 7,Nov 20th,/events/7540/european-pro-league-2nd-division-season-7,6+,"$10,000",Europe (Online),Online
7539,Svenska Elitserien Fall 2023 Finals,Dec 9th,/events/7539/svenska-elitserien-fall-2023-finals,2,"$3,311","Älmhult, Sweden",Local LAN
7538,Svenska Elitserien Fall 2023,Nov 21st,/events/7538/svenska-elitserien-fall-2023,4+,Other,Sweden (Online),Online
