id,name,rating
21800,Nadjila 'poppins' Sanchez Rodrigues,1.31
17288,Izabella 'izaa' Galle,1.43
21806,Paula 'paula' Ramanauskas,0.77
8850,Mounira 'GooseBreeder' Dobie,1.3
22062,Wiktoria 'vicu' Janicka,1.7
16497,Victoria 'tory' Kazieva,1.77
11215,Olga 'Olga' Rodrigues,1.45
22065,Angelika 'Angelka' Kozłowska,1.35
21801,Giovanna 'yungher' Yungh Mataveli,1.21
12758,Ana 'ANa' Dumbravă,1.79
8789,Nikolay 'mir' Bityukov,1.39
19677,Damjan 'kyxsan' Stoilkovski,1.38
16612,David 'n0rb3r7' Danielyan,1.7
19733,Sergiy 'DemQQ' Demchenko,1.71
20903,Munkhbold 'Senzu' Azbayar,2.16
14737,Ignacio 'meyern' Meyer,1.48
17937,Isak 'isak' Fahlén,0.84
17450,Ådne 'sense' Fredriksen,1.42
12731,Viktor 'sdy' Orudzhev,1.14
8738,Jonathan 'EliGE' Jablonowski,1.39
8248,Joakim 'jkaem' Myrbostad,1.85
15370,Fritz 'slaxz-' Dietrich,0.84
16885,Volodymyr 'Woro2k' Veletniuk,1.75
12731,Viktor 'sdy' Orudzhev,1.26
21243,Ali 'Wicadia' Haydar Yalçın,1.24
20282,Szymon 'kRaSnaL' Mrozek,1.43
10892,Edgar 'MarKE' Maldonado,0.85
12732,Evgenii 'FL1T' Lebedev,1.41
20895,Jingxiang 'Mercury' Wang,1.14
13138,Bryan 'Maka' Canda,1.52
12732,Evgenii 'FL1T' Lebedev,1.18
12731,Viktor 'sdy' Orudzhev,1.47
21037,Felipe 'insani' Yuji,1.68
8789,Nikolay 'mir' Bityukov,1.53
10892,Edgar 'MarKE' Maldonado,1.55
12731,Viktor 'sdy' Orudzhev,1.8
16612,David 'n0rb3r7' Danielyan,1.88
17011,Aleksandr 'shalfey' Marenov,1.28
16612,David 'n0rb3r7' Danielyan,1.67
19164,Álvaro 'SunPayus' García,1.22
14736,Franco 'dgt' Garcia,1.62
14904,Aaron 'SloWye' van der Walt,1.51
20300,Tobias 'kraghen' Kragh Jensen,1.22
17011,Aleksandr 'shalfey' Marenov,1.65
11777,Pavle 'Maden' Bošković,1.02
18676,Felipe 'skullz' Medeiros,0.98
20300,Tobias 'kraghen' Kragh Jensen,1.17
13250,Ben 'ben1337' Smith,1.03
16080,Paweł 'dycha' Dycha,1.6
15778,Sener 'SENER1' Mahmuti,1.31
9254,Alejandro 'mopoz' Fernández-Quejo Cano,1.45
11139,Alistair 'aliStair' Johnston,0.7
17372,Justin 'FaNg' Coakley,1.24
19725,Genc 'gxx-' Kolgeci,1.09
20300,Tobias 'kraghen' Kragh Jensen,1.29
20086,Christian 'ADDICT' Pendleton,1.58
17147,Flatron 'juanflatroo' Halimi,1.01
13578,Michael 'Grim' Wince,1.28
8950,Andrew 'kaze' Khong,1.18
17147,Flatron 'juanflatroo' Halimi,1.71
7805,William 'RUSH' Wierzba,1.09
12840,Håkon 'hallzerk' Fjærli,1.65
11630,Johnny 'JT' Theodosiou,1.47
9960,David 'frozen' Čerňanský,1.04
19230,Ilya 'm0NESY' Osipov,1.48
16080,Paweł 'dycha' Dycha,1.63
16921,Vladislav 'nafany' Gorshkov,1.15
20282,Szymon 'kRaSnaL' Mrozek,1.26
19230,Ilya 'm0NESY' Osipov,1.57
9960,David 'frozen' Čerňanský,1.37
20358,Sebastian 'volt' Maloș,1.0
13578,Michael 'Grim' Wince,1.75
19733,Sergiy 'DemQQ' Demchenko,1.46
19206,Justinas 'jL' Lekavicius,1.35
17450,Ådne 'sense' Fredriksen,1.5
9436,Guy 'NertZ' Iluz,1.18
16551,Zhe 'Westmelon' Niu,1.15
20282,Szymon 'kRaSnaL' Mrozek,1.75
12713,Ricky 'floppy' Kemery,0.98
18221,Lotan 'Spinx' Giladi,1.49
19920,Aleksandr 'KaiR0N-' Anashkin,1.67
18987,Valeriy 'b1t' Vakhovskiy,1.19
18790,Aleksandar 'CacaNito' Kjulukoski,1.72
12731,Viktor 'sdy' Orudzhev,1.43
19230,Ilya 'm0NESY' Osipov,1.28
19926,Aurélien 'afro' Drapier,1.33
16080,Paweł 'dycha' Dycha,1.54
18053,Helvijs 'broky' Saukants,1.14
9032,Emil 'Magisk' Reif,1.42
19206,Justinas 'jL' Lekavicius,1.99
20312,Dorian 'xertioN' Berman,2.02
9032,Emil 'Magisk' Reif,1.42
8918,Denis 'electroNic' Sharipov,1.25
16920,Dmitry 'sh1ro' Sokolov,1.75
10994,Martin 'stavn' Lund,1.17
18221,Lotan 'Spinx' Giladi,1.49
12553,Yuri 'yuurih' Santos,1.35
10264,Nikolaj 'niko' Kristensen,1.13
7998,Oleksandr 's1mple' Kostyliev,1.32
9816,Aleksi 'Aleksib' Virolainen,1.12
18221,Lotan 'Spinx' Giladi,1.95
7528,Freddy 'KRIMZ' Johansson,1.01
18689,Tuvshintugs 'Annihilation' Nyamdorj,0.99
17306,Abdul 'degster' Gasanov,1.51
19592,Daniil 'headtr1ck' Valitov,1.42
18053,Helvijs 'broky' Saukants,0.98
12092,Maximiliano 'max' Gonzalez,1.43
11893,Mathieu 'ZywOo' Herbaut,1.65
9960,David 'frozen' Čerňanský,1.25
14932,Josef 'faveN' Baumann,1.16
8568,Ricardo 'boltz' Prass,1.96
9816,Aleksi 'Aleksib' Virolainen,1.07
12521,Andrei 'arT' Piovezan,1.34
18053,Helvijs 'broky' Saukants,2.02
7322,Dan 'apEX' Madesclaire,1.21
8565,Henrique 'HEN1' Teles,1.05
14148,Rasmus 'sjuush' Beck,1.39
5794,Johannes 'tabseN' Wodarz,1.62
20194,Garidmagnai 'bLitz' Byambasuren,1.46
13666,Ludvig 'Brollan' Brolin,1.79
14929,Jon 'JDC' de Castro,1.1
11777,Pavle 'Maden' Bošković,0.87
14148,Rasmus 'sjuush' Beck,1.05
19230,Ilya 'm0NESY' Osipov,1.42
7592,Nicolai 'device' Reedtz,1.56
16080,Paweł 'dycha' Dycha,1.32
18053,Helvijs 'broky' Saukants,1.51
9960,David 'frozen' Čerňanský,1.58
3741,Nikola 'NiKo' Kovač,1.09
13578,Michael 'Grim' Wince,0.91
10394,Russel 'Twistzz' Van Dulken,1.68
16920,Dmitry 'sh1ro' Sokolov,1.25
20123,Iulian 'regali' Harjău,1.74
18053,Helvijs 'broky' Saukants,1.26
12553,Yuri 'yuurih' Santos,1.18
8520,Keith 'NAF' Markovic,1.38
11940,Sanzhar 'neaLaN' Iskhakov,0.75
13602,Nico 'nicoodoz' Tamjidi,1.24
20312,Dorian 'xertioN' Berman,1.22
19230,Ilya 'm0NESY' Osipov,2.36
15631,Kaike 'KSCERATO' Cerato,1.6
13915,Mareks 'YEKINDAR' Gaļinskis,1.22
16555,Sergey 'Ax1Le' Rykhtorov,1.68
10394,Russel 'Twistzz' Van Dulken,1.55
19164,Álvaro 'SunPayus' García,1.8
7964,Casper 'cadiaN' Møller,1.46
11954,Dion 'FASHR' Derksen,0.99
15631,Kaike 'KSCERATO' Cerato,1.15
4679,Justin 'jks' Savage,1.91
9078,Kristian 'k0nfig' Wienecke,1.34
19677,Damjan 'kyxsan' Stoilkovski,0.87
4829,Wiktor 'mynio' Kruk,1.09
20194,Garidmagnai 'bLitz' Byambasuren,1.2
12840,Håkon 'hallzerk' Fjærli,1.2
19733,Sergiy 'DemQQ' Demchenko,1.27
13915,Mareks 'YEKINDAR' Gaļinskis,1.37
12822,Vinicius 'VINI' Figueiredo,1.73
7592,Nicolai 'device' Reedtz,1.49
5388,Karol 'rallen' Rodowicz,1.37
18462,William 'mezii' Merriman,1.52
9078,Kristian 'k0nfig' Wienecke,1.46
8248,Joakim 'jkaem' Myrbostad,1.24
17384,Declan 'Vexite' Portelli,1.6
19733,Sergiy 'DemQQ' Demchenko,1.42
20941,Christian 'Buzz' Andersen,1.4
9618,Nemanja 'nexa' Isaković,1.25
18462,William 'mezii' Merriman,1.62
18072,Ádám 'torzsi' Torzsás,1.67
13018,Thomas 'Thomas' Utting,1.03
922,Marco 'Snappi' Pfeiffer,0.82
3972,Nemanja 'huNter-' Kovač,1.35
19164,Álvaro 'SunPayus' García,1.21
7964,Casper 'cadiaN' Møller,1.12
16693,Shahar 'flameZ' Shushan,1.35
9896,Johannes 'b0RUP' Borup,1.28
19164,Álvaro 'SunPayus' García,1.49
16920,Dmitry 'sh1ro' Sokolov,1.27
16693,Shahar 'flameZ' Shushan,1.36
429,Finn 'karrigan' Andersen,1.03
9960,David 'frozen' Čerňanský,1.2
14419,Fredrik 'roeJ' Jørgensen,1.46
8918,Denis 'electroNic' Sharipov,1.34
18987,Valeriy 'b1t' Vakhovskiy,1.39
3741,Nikola 'NiKo' Kovač,1.69
15165,Benjamin 'blameF' Bremer,1.62
18072,Ádám 'torzsi' Torzsás,1.1
10330,Frederik 'acoR' Gyldstrand,1.24
16885,Volodymyr 'Woro2k' Veletniuk,1.28
18053,Helvijs 'broky' Saukants,1.13
19926,Aurélien 'afro' Drapier,1.28
8528,Abay 'HObbit' Khassenov,1.23
7322,Dan 'apEX' Madesclaire,1.39
10994,Martin 'stavn' Lund,1.33
19206,Justinas 'jL' Lekavicius,1.36
3972,Nemanja 'huNter-' Kovač,1.34
16080,Paweł 'dycha' Dycha,0.83
16920,Dmitry 'sh1ro' Sokolov,1.53
10330,Frederik 'acoR' Gyldstrand,1.4
18506,Pavel 's1ren' Ogloblin,1.74
922,Marco 'Snappi' Pfeiffer,1.23
15631,Kaike 'KSCERATO' Cerato,1.26
13602,Nico 'nicoodoz' Tamjidi,1.43
11940,Sanzhar 'neaLaN' Iskhakov,1.3
20350,Dawid 'Layner' Falczyński,1.24
11140,Joshua 'INS' Potter,1.47
18689,Tuvshintugs 'Annihilation' Nyamdorj,1.43
18835,Rafael 'saffee' Costa,1.44
16920,Dmitry 'sh1ro' Sokolov,1.57
18317,Boris 'magixx' Vorobiev,1.07
7266,Florian 'syrsoN' Rische,1.39
12553,Yuri 'yuurih' Santos,1.99
20304,Victor 'Staehr' Staehr,1.1
14419,Fredrik 'roeJ' Jørgensen,1.77
8565,Henrique 'HEN1' Teles,1.09
7716,Leonid 'chopper' Vishnyakov,1.74
16080,Paweł 'dycha' Dycha,1.39
16555,Sergey 'Ax1Le' Rykhtorov,1.83
7964,Casper 'cadiaN' Møller,1.09
3741,Nikola 'NiKo' Kovač,1.35
17956,Jakob 'jabbi' Nygaard,1.41
8738,Jonathan 'EliGE' Jablonowski,1.37
7998,Oleksandr 's1mple' Kostyliev,1.32
20101,Petr 'fame' Bolyshev,1.32
19230,Ilya 'm0NESY' Osipov,1.38
18053,Helvijs 'broky' Saukants,1.21
14148,Rasmus 'sjuush' Beck,1.51
7528,Freddy 'KRIMZ' Johansson,1.13
9618,Nemanja 'nexa' Isaković,1.22
20127,Ihor 'w0nderful' Zhdanov,1.28
429,Finn 'karrigan' Andersen,1.39
12840,Håkon 'hallzerk' Fjærli,2.02
9032,Emil 'Magisk' Reif,1.25
13666,Ludvig 'Brollan' Brolin,1.41
7964,Casper 'cadiaN' Møller,1.57
16555,Sergey 'Ax1Le' Rykhtorov,1.55
7998,Oleksandr 's1mple' Kostyliev,1.58
14932,Josef 'faveN' Baumann,1.54
4679,Justin 'jks' Savage,1.38
19920,Aleksandr 'KaiR0N-' Anashkin,1.24
17956,Jakob 'jabbi' Nygaard,1.43
19044,Maciej 'F1KU' Miklas,1.2
8520,Keith 'NAF' Markovic,1.52
11893,Mathieu 'ZywOo' Herbaut,1.28
429,Finn 'karrigan' Andersen,1.61
16920,Dmitry 'sh1ro' Sokolov,1.13
4679,Justin 'jks' Savage,1.35
10588,Jay 'Liazz' Tregillgas,1.27
19763,Mohammad 'BOROS' Malhas,1.05
15662,Aleksandr 'zorte' Zagodyrenko,1.16
17384,Declan 'Vexite' Portelli,1.14
